time_end_s,T_zone_used_C,ahu_sat_sp_C,zone_temp_sp_C,T_zone_C,T_outdoor_C,T_ahu_supply_C,ahu_sat_sp_read_C,P_cooling_W,P_ahu_heating_W,P_reheat_W,P_supply_fan_W,P_return_fan_W,P_HVAC_W,E_HVAC_kWh_step
15855300,24.00603935606947,12.8,24.0,24.00011723505074,33.575,12.8017159636883,12.8,129.2398555621205,0.0,0.0,51.16024617397414,73.32968618269626,253.72978791879092,0.06343244697969773
15856200,24.00011723505074,12.8,24.0,23.99947739526323,33.84999999999999,12.79546744362649,12.8,132.6393152897018,0.0,0.0,52.16846329811126,74.77479739395947,259.58257598177255,0.06489564399544313
15857100,23.99947739526323,18.0,24.0,24.34484900905105,34.125,17.99930490934986,18.0,111.2793750444459,0.0,0.0,86.86262081260838,124.5030898314053,322.6450856884596,0.08066127142211489
15858000,24.34484900905105,12.8,24.0,24.26274783091201,34.4,13.32216326969813,12.8,146.8006212786676,0.0,0.0,59.3104280012365,85.01161346843898,291.12266274834303,0.07278066568708576
15858900,24.26274783091201,12.8,24.0,24.03936144473785,34.825,12.4474470595906,12.8,165.1560628709104,0.0,0.0,55.63468295673854,79.74304557132524,300.5337913989742,0.07513344784974355
15859800,24.03936144473785,12.8,24.0,24.0048481545438,35.25,12.80890581696094,12.8,161.4692016046674,0.0,0.0,57.81664954137777,82.87053100930814,302.1563821553533,0.07553909553883832
15860700,24.0048481545438,12.8,24.0,24.00010325485871,35.675,12.80850415775201,12.8,168.4690484852246,0.0,0.0,59.20292172161546,84.85752113431549,312.52949134115556,0.07813237283528889
15861600,24.00010325485871,12.8,24.0,23.9993194346353,36.1,12.79746266476589,12.8,171.9272774769647,0.0,0.0,58.88891822407316,84.40744945450486,315.2236451555427,0.07880591128888567
15862500,23.9993194346353,18.0,24.0,24.48154856587226,36.1,17.99927244342647,18.0,121.655533160547,0.0,0.0,86.86262081260838,124.5030898314053,333.0212438045607,0.08325531095114018
15863400,24.48154856587226,12.8,24.0,24.15178802250523,36.1,13.71522190244569,12.8,193.0956005085769,0.0,0.0,69.63388462887372,99.80856796805232,362.53805310550297,0.09063451327637574
15864300,24.15178802250523,12.8,24.0,24.00130569252067,36.1,12.80351420656751,12.8,180.3960140345628,0.0,0.0,56.07627798078455,80.37599843912453,316.8482904544719,0.07921207261361798
15865200,24.00130569252067,12.8,24.0,23.99812616208643,36.1,12.800091489304,12.8,179.2296824703992,0.0,0.0,56.18186095936901,80.52733404176222,315.9388774715304,0.07898471936788261
15866100,23.99812616208643,18.0,24.0,24.42423820241523,36.1,17.99912974189656,18.0,119.9099838766895,0.0,0.0,86.86262081260838,124.5030898314053,331.27569452070315,0.08281892363017579
15867000,24.42423820241523,12.8,24.0,24.14400095815714,36.1,15.60476956249031,12.8,212.6027399979148,0.0,0.0,86.86262081260838,124.5030898314053,423.9684506419285,0.10599211266048213
15867900,24.14400095815714,12.8,24.0,24.01521326112283,36.1,12.4528338010594,12.8,177.5049115824102,0.0,0.0,51.09551970553122,73.23691157792808,301.83734286586946,0.07545933571646737
15868800,24.01521326112283,12.8,24.0,23.9994989849445,36.1,12.79364429251069,12.8,178.5436079839174,0.0,0.0,53.84244757789978,77.17417486165635,309.5602304234735,0.07739005760586838
15869700,23.9994989849445,18.0,24.0,24.35308869084627,36.25,17.99916192260769,18.0,122.2320132038988,0.0,0.0,86.86262081260838,124.5030898314053,333.5977238479125,0.08339943096197813
15870600,24.35308869084627,12.8,24.0,24.07948511950189,36.40000000000001,15.38066240819795,12.8,213.8891372332079,0.0,0.0,80.8158803633886,115.8360951875237,410.5411127841202,0.10263527819603004
15871500,24.07948511950189,12.8,24.0,24.00649923404744,36.55,12.55259861291462,12.8,169.7367955244318,0.0,0.0,49.1461356718608,70.44279446300048,289.3257256592931,0.07233143141482327
15872400,24.00649923404744,12.8,24.0,23.99811262534171,36.7,12.78074038626088,12.8,173.9542178291717,0.0,0.0,51.90021943254128,74.39031451997583,300.2447517816888,0.0750611879454222
15873300,23.99811262534171,18.0,24.0,24.10579898001792,36.425,18.34436864266783,18.0,115.7433051531547,0.0,0.0,86.86262081260838,124.5030898314053,327.10901579716835,0.0817772539492921
15874200,24.10579898001792,12.8,24.0,24.00226958857499,36.15000000000001,12.19062240773113,12.8,121.7887866467837,0.0,0.0,42.31618901201996,60.65320425056194,224.7581799093656,0.056189544977341396
15875100,24.00226958857499,12.8,24.0,23.99826000673493,35.875,12.83019710158828,12.8,106.9558838338653,0.0,0.0,42.00407580799097,60.20584199145373,209.16580163331,0.0522914504083275
15876000,23.99826000673493,18.0,24.0,24.00101809451806,35.6,17.99434300567095,18.0,108.3360855096632,0.0,0.0,81.07591953074149,116.2088179940628,305.6208230344675,0.07640520575861688
15876900,24.00101809451806,12.8,24.0,23.99855592868702,35.3,13.07173085841472,12.8,87.32054352246895,0.0,0.0,39.68366789497288,56.87992398279447,183.88413540023632,0.04597103385005908
15877800,23.99855592868702,18.0,24.0,24.00067301787237,35.0,17.45221937220124,18.0,69.6545000699707,0.0,0.0,51.94433204490924,74.45354259770323,196.05237471258317,0.04901309367814579
15878700,24.00067301787237,12.8,24.0,23.99837589735781,34.7,13.4747417576894,12.8,79.4704139635504,0.0,0.0,38.99034657377091,55.88616342240497,174.34692395972627,0.04358673098993157
15879600,23.99837589735781,18.0,24.0,24.00033936953139,34.4,17.36971851342423,18.0,63.19468294652263,0.0,0.0,47.37939285232109,67.91046308832689,178.48453888717063,0.04462113472179265
15880500,24.00033936953139,12.8,24.0,23.99837336239581,33.575,13.57868401252511,12.8,71.8950568400486,0.0,0.0,38.35766369723434,54.97931796603588,165.2320385033188,0.04130800962582969
15881400,23.99837336239581,18.0,24.0,24.00022583227091,32.75,17.33038662988595,18.0,54.30426475606583,0.0,0.0,43.89033681649192,62.90948277030508,161.10408434286282,0.04027602108571571
15882300,24.00022583227091,12.8,24.0,23.99846927363889,31.925,13.71438996729368,12.8,61.50692548083492,0.0,0.0,37.58127205917631,53.86648995148604,152.95468749149728,0.03823867187287432
15883200,23.99846927363889,18.0,24.0,24.00012869712197,31.1,17.23644371013657,18.0,47.26042428448422,0.0,0.0,41.60205592391893,59.62961349095046,148.49209369935363,0.03712302342483841
15884100,24.00012869712197,12.8,24.0,23.99855512456239,31.1,13.80267007076098,12.8,54.70834931361192,0.0,0.0,37.01304555544648,53.05203196280662,144.77342683186504,0.03619335670796626
15885000,23.99855512456239,18.0,24.0,24.00006862586642,31.1,17.1712465624066,18.0,43.71344137096337,0.0,0.0,40.06812094806639,57.43097335889515,141.2125356779249,0.03530313391948123
