time_hour,Tenv_mpc,Tair_mpc,Tout,Qsg,Qint,sat_mpc,zat_mpc,lb,ub,reward_mpc,energy_step_mpc_kwh,energy_cumulative_mpc_kwh,temp_exceed_step_mpc_degC_hr,temp_exceed_cumulative_mpc_degC_hr,violation_hours_cumulative_mpc,solver_success,solver_used_fallback,solver_time_sec,solver_iterations,solver_function_evaluations,solver_objective,solver_message
34.0,23.04589089169534,23.04815797210158,24.0,195.2773096,180.0,14.5,23.0,22.0,24.0,-0.0006164145635698434,0.036984873814190605,3.3362309194056277,0.0,0.0,0.0,True,False,0.007293165999726625,1,13,0.005652878609165652,Optimization terminated successfully
34.5,23.153566991375886,23.279546394132932,24.0,413.3617121,180.0,14.5,23.0,22.0,24.0,-0.0006989513932881674,0.041937083597290044,3.3781680030029175,0.0,0.0,0.0,True,False,0.007193624998762971,1,13,0.0065822994860510586,Optimization terminated successfully
35.0,23.195372222740097,23.015439430983378,24.0,222.3533497,180.0,14.5,23.0,22.0,24.0,-0.0007945930578378333,0.04767558347027,3.4258435864731873,0.0,0.0,0.0,True,False,0.007211750002170447,1,13,0.00743830264519113,Optimization terminated successfully
35.5,23.309808198808533,23.367352060302945,24.0,554.3168075,180.0,14.5,23.0,22.0,24.0,-0.0009133710206621232,0.054802261239727396,3.4806458477129145,0.0,0.0,0.0,True,False,0.007237124998937361,1,13,0.00816971930703275,Optimization terminated successfully
36.0,23.453980086839245,23.381422614272562,25.0,638.8323553,180.0,14.5,23.0,22.0,24.0,-0.0011712519944841863,0.07027511966905117,3.5509209673819657,0.0,0.0,0.0,True,False,0.007272584000020288,1,13,0.008827540338707309,Optimization terminated successfully
36.5,23.55801823744738,23.256696112891706,25.0,612.9091685,180.0,14.5,23.0,22.0,24.0,-0.0014582979148663878,0.08749787489198327,3.638418842273949,0.0,0.0,0.0,True,False,0.007207416001620004,1,13,0.009291570912401577,Optimization terminated successfully
37.0,23.616009232891876,23.052949922407652,26.0,478.6367731,180.0,14.5,23.0,22.0,24.0,-0.0015458363808675108,0.09275018285205065,3.7311690251259995,0.0,0.0,0.0,True,False,0.007275708001543535,1,13,0.009440388268059033,Optimization terminated successfully
37.5,23.642280656893274,22.990071211260343,26.0,429.054432,180.0,14.5,23.0,22.0,24.0,-0.0015549504225493777,0.09329702535296266,3.824466050478962,0.0,0.0,0.0,True,False,0.007245917000545887,1,13,0.009395290522738816,Optimization terminated successfully
38.0,23.653768323044247,22.963786179749267,26.0,394.6227294,180.0,14.5,23.0,22.0,24.0,-0.0015260052212753234,0.0915603132765194,3.9160263637554813,0.0,0.0,0.0,True,False,0.007326124999963213,1,13,0.00922917976718841,Optimization terminated successfully
38.5,23.70341729048874,23.13183885248868,26.0,538.7916669,180.0,14.5,23.0,22.0,24.0,-0.0015711950546509776,0.09427170327905865,4.01029806703454,0.0,0.0,0.0,True,False,0.007294792001630412,1,13,0.008914443116662962,Optimization terminated successfully
