lb,ub,Qsg,Tout,Tair_true,u_true
22.0,24.0,614.8040202,24.0,24.962092517432854,-2731.5864
22.0,24.0,489.5666343,24.099999999999994,19.570636816010104,1391.928
22.0,24.0,432.9948978,24.099999999999994,24.9936329963828,-2746.131
22.0,24.0,273.3120913,24.099999999999994,19.60277262576457,-260.22293
22.0,24.0,211.5331912,23.9,22.481754012752127,-1587.8186
22.0,24.0,128.0335723,23.700000000000003,20.81477111792698,-819.1164
22.0,24.0,90.46356319,23.200000000000003,21.635990718278705,-1197.8085
22.0,24.0,57.42,22.700000000000003,21.091277718289028,-946.623
22.0,24.0,41.25,22.700000000000003,21.099513123738838,-950.42065
22.0,24.0,25.08,20.4,20.998743244306375,-903.95215
22.0,24.0,10.395,19.39999999999999,20.95296794388301,-882.8436
22.0,24.0,13.5123849,18.4,20.874006537091653,-846.4319
15.0,28.0,0.0,17.9,20.818743496796305,-820.94824
15.0,28.0,0.0,17.5,20.75221715182742,-790.2707
15.0,28.0,0.0,17.1,20.70000945610107,-766.1959
15.0,28.0,0.0,16.700000000000003,20.64656170103226,-741.5494
15.0,28.0,0.0,16.5,20.599701802051992,-719.9407
15.0,28.0,0.0,16.4,20.555526589157278,-699.57
15.0,28.0,0.0,16.299999999999997,20.516516585256863,-681.5812
15.0,28.0,0.0,16.200000000000003,20.480830651925213,-665.1251
15.0,28.0,0.0,16.1,20.44880549835163,-650.3573
15.0,28.0,0.0,16.0,20.419654029463437,-636.91455
15.0,28.0,0.0,15.799999999999997,20.393273630749217,-624.7497
15.0,28.0,0.0,15.600000000000009,20.368719318497874,-613.4269
15.0,28.0,0.0,15.399999999999999,20.345892805766624,-602.90076
15.0,28.0,0.0,15.200000000000003,20.324548701368187,-593.0583
15.0,28.0,0.0,15.0,20.304555109987938,-583.83856
15.0,28.0,0.0,14.799999999999997,20.285747274221823,-575.16565
15.0,28.0,0.0,14.900000000000006,20.268004328394166,-566.98376
