time_hour,mpc_parameter_phase,parameter_switched_after_step,identification_rows_available,Tenv_mpc,Tair_mpc,Tout,Qsg,Qint,forecast_Tout_mean_next_step,forecast_Tout_sample_next_step,forecast_Tout_error_next_step,forecast_Qsg_mean_next_step,forecast_Qsg_sample_next_step,forecast_Qsg_relative_error_next_step,sat_mpc,zat_mpc,lb,ub,reward_mpc,energy_step_mpc_kwh,energy_cumulative_mpc_kwh,temp_exceed_step_mpc_degC_hr,temp_exceed_cumulative_mpc_degC_hr,violation_hours_cumulative_mpc,solver_success,solver_used_fallback,solver_time_sec,solver_iterations,solver_function_evaluations,solver_objective,solver_message,mpc_model_C_env,mpc_model_C_air,mpc_model_R_rc,mpc_model_R_oe,mpc_model_R_er
17680.0,generic,False,32,24.703982081239246,23.949152678347524,28.3,269.3540575,180.0,28.3,27.347047644407677,-0.9529523555923233,269.3540575,256.25437877237175,-0.048633678843424365,14.421857559935496,24.246989967875383,22.0,24.0,-0.0006742625403424948,0.04045575242054969,1.641141657631814,0.0,0.04139549050031377,1.5,True,False,0.0073383330018259585,1,13,0.003049167842323137,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17680.5,generic,False,33,24.691533205901894,23.99457699527527,27.7,221.8666509,180.0,27.7,27.900059084558933,0.20005908455893362,221.8666509,156.18164987212646,-0.2960562155755403,14.43929826259476,24.17360657449172,22.0,24.0,-0.0005775841285524571,0.034655047713147424,1.6757967053449616,0.0,0.04139549050031377,1.5,True,False,0.0075604159937938675,1,13,0.002621012383224788,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17681.0,generic,False,34,24.651112729117255,23.927103353383274,27.1,126.7057476,180.0,27.1,27.091497822605376,-0.00850217739462412,126.7057476,165.8863468898464,0.30922511434553446,14.47038783660873,24.07988929977307,22.0,24.0,-0.0005322381702592146,0.03193429021555288,1.7077309955605144,0.0,0.04139549050031377,1.5,True,False,0.0077811670053051785,1,13,0.002697264029910857,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17681.5,generic,False,35,24.590053351157124,23.886768017905208,26.2,96.50280202,180.0,26.2,24.8094213192063,-1.3905786807936982,96.50280202,108.7222582535746,0.1266228127867431,14.490194242996715,23.966623092200265,22.0,24.0,-0.0005223199782747283,0.031339198696483696,1.7390701942569982,0.0,0.04139549050031377,1.5,True,False,0.007941874995594844,1,13,0.0029397992048621527,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17682.0,generic,False,36,24.488755605379495,23.647764779039274,25.4,53.955,50.0,25.4,24.69310713834323,-0.7068928616567706,53.955,48.346681843897585,-0.1039443639348052,14.490284520899051,23.96600510969342,22.0,24.0,-0.0004582139196755466,0.027492835180532797,1.766563029437531,0.0,0.04139549050031377,1.5,True,False,0.008250333004980348,1,13,0.003154226107924694,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17682.5,generic,False,37,24.397978135999352,23.71146822228583,25.4,38.445,50.0,25.4,24.197818608891197,-1.2021813911088035,38.445,44.58335237780076,0.15966581812461322,14.490284520899051,23.96600510969342,22.0,24.0,-0.0003435199448167161,0.020611196689002968,1.787174226126534,0.0,0.04139549050031377,1.5,True,False,0.008347249997314066,1,13,0.0032763611025766947,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17683.0,generic,False,38,24.283700710094404,23.77926653874978,23.0,24.09,50.0,23.0,23.385629149703536,0.3856291497035351,24.09,27.638904245906406,0.14731856562500642,14.490284520899051,23.96600510969342,22.0,24.0,-0.0004037691655684306,0.024226149934105837,1.8114003760606399,0.0,0.04139549050031377,1.5,True,False,0.008522583011654206,1,13,0.003547586065880127,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17683.5,generic,False,39,24.161867343828906,23.725148135947396,21.7,11.385,50.0,21.7,21.787033459611962,0.08703345961196428,11.385,10.741626172096787,-0.05651065682065992,14.490284520899051,23.96600510969342,22.0,24.0,-0.0005007601345618501,0.030045608073711004,1.841445984134351,0.0,0.04139549050031377,1.5,True,False,0.008519457987858914,1,13,0.003992078809989227,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17684.0,generic,False,40,24.027022677850418,23.66396143748119,20.4,14.70273145,50.0,20.4,20.939078739549068,0.5390787395490694,14.70273145,17.18984101688375,0.1691596949411568,14.490284520899051,23.96600510969342,22.0,24.0,-0.0005640704462584945,0.03384422677550967,1.8752902109098606,0.0,0.04139549050031377,1.5,True,False,0.00865791700198315,1,13,0.0044291213048829,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
17684.5,generic,False,41,23.879078707110317,23.574128330820514,19.3,0.0,50.0,19.3,19.433443506075378,0.13344350607537664,0.0,0.0,-0.07884782197523472,14.490284520899051,23.96600510969342,22.0,24.0,-0.0006422690583058123,0.03853614349834874,1.9138263544082093,0.0,0.04139549050031377,1.5,True,False,0.008527333004167303,1,13,0.004882420620311455,Optimization terminated successfully,3621417.0,395335.4,0.007260759,0.03000755,0.004009136
