row_index,T_env_measured,T_env_predicted,T_env_error,T_zone_measured,T_zone_predicted,T_zone_error,T_env_start,T_zone_start,T_out_start,T_out_end,T_cor_start,T_cor_end,Qsg_start,Qsg_end,Qint_start,Qint_end,Q_HVAC_total_est_W,dt_seconds,envelope_abs_error,zone_abs_error,combined_abs_error
129,23.728740692138672,23.833553981142455,0.10481328900378273,22.732933044433594,22.391123095280225,-0.3418099491533688,23.848587036132812,22.780336380004883,25.199996948242188,24.699996948242188,24.0,24.0,212.85394287109375,128.9326629638672,180.0,180.0,-718.3404197593496,1800.0,0.10481328900378273,0.3418099491533688,0.44662323815715155
130,23.601802825927734,23.669640162355225,0.06783733642749112,22.738035202026367,22.61784965463574,-0.12018554739062637,23.728740692138672,22.732933044433594,24.699996948242188,23.699996948242188,24.0,24.0,128.9326629638672,90.9875259399414,180.0,180.0,-651.8346960079849,1800.0,0.06783733642749112,0.12018554739062637,0.1880228838181175
131,23.452117919921875,23.523342028683327,0.07122410876145224,22.551191329956055,23.00806454631759,0.45687321636153655,23.601802825927734,22.738035202026367,23.699996948242188,22.800003051757812,24.0,24.0,90.9875259399414,56.59499740600586,180.0,50.0,-540.0456855448492,1800.0,0.07122410876145224,0.45687321636153655,0.5280973251229888
132,23.33000373840332,23.333050756898533,0.0030470184952129387,22.67693328857422,22.923374808278403,0.2464415197041845,23.452117919921875,22.551191329956055,22.800003051757812,22.800003051757812,24.0,24.0,56.59499740600586,40.59000015258789,50.0,50.0,-426.6115731029498,1800.0,0.0030470184952129387,0.2464415197041845,0.24948853819939742
133,23.18998336791992,23.242258094637005,0.052274726717087105,22.725095748901367,22.91608759056565,0.19099184166428174,23.33000373840332,22.67693328857422,22.800003051757812,20.400001525878903,24.0,24.0,40.59000015258789,25.24499893188477,50.0,50.0,-367.6363985238453,1800.0,0.052274726717087105,0.19099184166428174,0.24326656838136884
134,23.05229949951172,23.0753280148837,0.023028515371979807,22.752700805664062,22.951669243810475,0.1989684381464123,23.18998336791992,22.725095748901367,20.400001525878903,19.200000762939453,24.0,24.0,25.24499893188477,11.880000114440918,50.0,50.0,-312.27580126478426,1800.0,0.023028515371979807,0.1989684381464123,0.2219969535183921
135,22.92127799987793,22.93324789548911,0.011969895611180448,22.790233612060547,22.973619600788535,0.18338598872798784,23.05229949951172,22.752700805664062,19.200000762939453,18.099998474121097,24.0,24.0,11.880000114440918,15.524798393249512,50.0,50.0,-264.6773894716392,1800.0,0.011969895611180448,0.18338598872798784,0.19535588433916828
136,22.82671356201172,22.80983690198166,-0.016876660030057167,23.02570343017578,23.43893349437861,0.4132300642028284,22.92127799987793,22.790233612060547,18.099998474121097,17.60000228881836,24.0,24.0,15.524798393249512,0.0,50.0,50.0,-130.0583813598904,1800.0,0.016876660030057167,0.4132300642028284,0.43010672423288554
137,22.743732452392575,22.748429356582797,0.004696904190222284,22.9981689453125,23.041348488310838,0.04317954299833815,22.82671356201172,23.02570343017578,17.60000228881836,17.099998474121094,24.0,24.0,0.0,0.0,50.0,50.0,-131.01720534576629,1800.0,0.004696904190222284,0.04317954299833815,0.047876447188560434
138,22.661117553710938,22.66523494279067,0.004117389079731026,22.957427978515625,22.982232949144137,0.02480497062851228,22.743732452392575,22.9981689453125,17.099998474121094,16.700000762939453,24.0,24.0,0.0,0.0,50.0,50.0,-126.06465821800384,1800.0,0.004117389079731026,0.02480497062851228,0.028922359708243306
139,22.578229904174805,22.582408195286096,0.004178291111291088,22.915895462036133,22.939883842035677,0.02398837999954395,22.661117553710938,22.957427978515625,16.700000762939453,16.300003051757812,24.0,24.0,0.0,0.0,50.0,50.0,-120.80174901001313,1800.0,0.004178291111291088,0.02398837999954395,0.02816667111083504
140,22.474498748779297,22.499235270177124,0.024736521397827005,22.668617248535156,22.432218118545453,-0.23639912998970303,22.578229904174805,22.915895462036133,16.300003051757812,15.900001525878906,24.0,24.0,0.0,0.0,50.0,50.0,-206.598461664424,1800.0,0.024736521397827005,0.23639912998970303,0.26113565138753003
141,22.36357879638672,22.36746209753031,0.003883301143591922,22.603050231933594,22.621525088415094,0.018474856481500268,22.474498748779297,22.668617248535156,15.900001525878906,15.5,24.0,24.0,0.0,0.0,50.0,50.0,-195.18021920371189,1800.0,0.003883301143591922,0.018474856481500268,0.02235815762509219
142,22.254474639892575,22.257448856578797,0.002974216686222775,22.547422409057617,22.577692589543897,0.03027018048627994,22.36357879638672,22.603050231933594,15.5,15.10000228881836,24.0,24.0,0.0,0.0,50.0,50.0,-187.92782755542,1800.0,0.002974216686222775,0.03027018048627994,0.033244397172502715
143,22.14742660522461,22.150452232475757,0.0030256272511479665,22.49329948425293,22.52362222121092,0.03032273695799148,22.254474639892575,22.547422409057617,15.10000228881836,14.699996948242188,24.0,24.0,0.0,0.0,50.0,50.0,-181.01043484192783,1800.0,0.0030256272511479665,0.03032273695799148,0.03334836420913945
144,22.055728912353516,22.045384802684243,-0.010344109669272683,22.55589485168457,22.730501765690715,0.17460691400614436,22.14742660522461,22.49329948425293,14.699996948242188,14.400001525878906,24.0,24.0,0.0,0.0,50.0,50.0,-123.3120905944244,1800.0,0.010344109669272683,0.17460691400614436,0.18495102367541705
145,21.97139358520508,21.97288147821689,0.0014878930118094047,22.51851272583008,22.54957234766263,0.03105962183254718,22.055728912353516,22.55589485168457,14.400001525878906,14.099998474121094,24.0,24.0,0.0,0.0,50.0,50.0,-120.23709057203676,1800.0,0.0014878930118094047,0.03105962183254718,0.032547514844356584
146,21.891027450561523,21.89122252681405,0.00019507625252757066,22.477811813354492,22.500482051691808,0.02267023833731585,21.97139358520508,22.51851272583008,14.099998474121094,13.89999771118164,24.0,24.0,0.0,0.0,50.0,50.0,-115.09631657477718,1800.0,0.00019507625252757066,0.02267023833731585,0.022865314589843422
147,21.81403350830078,21.814417422016774,0.0003839137159928896,22.4385986328125,22.460018255371367,0.021419622558866536,21.891027450561523,22.477811813354492,13.89999771118164,13.699996948242188,24.0,24.0,0.0,0.0,50.0,50.0,-110.06558338411575,1800.0,0.0003839137159928896,0.021419622558866536,0.021803536274859425
148,21.7425479888916,21.740627127278195,-0.0019208616134065437,22.425479888916016,22.47713502323818,0.05165513432216429,21.81403350830078,22.4385986328125,13.699996948242188,13.5,24.0,24.0,0.0,0.0,50.0,50.0,-94.36960335430336,1800.0,0.0019208616134065437,0.05165513432216429,0.05357599593557083
149,21.674671173095703,21.675369362474818,0.0006981893791149218,22.39211082458496,22.412633071220483,0.02052224663552238,21.7425479888916,22.425479888916016,13.5,13.299999237060549,24.0,24.0,0.0,0.0,50.0,50.0,-90.45478883787963,1800.0,0.0006981893791149218,0.02052224663552238,0.0212204360146373
150,21.607131958007812,21.610007724681783,0.0028757666739700483,22.35818672180176,22.37762070960288,0.01943398780111849,21.674671173095703,22.39211082458496,13.299999237060549,13.0,24.0,24.0,0.0,0.0,50.0,50.0,-86.15082826936904,1800.0,0.0028757666739700483,0.01943398780111849,0.02230975447508854
151,21.539871215820312,21.542762407374575,0.002891191554262207,22.324369430541992,22.343679757504894,0.019310326962902025,21.607131958007812,22.35818672180176,13.0,12.700000762939451,24.0,24.0,0.0,0.0,50.0,50.0,-81.84944920581987,1800.0,0.002891191554262207,0.019310326962902025,0.02220151851716423
152,21.47946548461914,21.47576360456345,-0.0037018800556900544,22.3566837310791,22.459540637863174,0.10285690678407278,21.539871215820312,22.324369430541992,12.700000762939451,12.39999771118164,24.0,24.0,0.0,0.0,50.0,50.0,-48.31658005431285,1800.0,0.0037018800556900544,0.10285690678407278,0.10655878683976283
153,21.419565200805664,21.424514466019815,0.004949265214150955,22.330062866210938,22.352029025995627,0.02196615978468941,21.47946548461914,22.3566837310791,12.39999771118164,12.0,24.0,24.0,0.0,0.0,50.0,50.0,-45.945739229318576,1800.0,0.004949265214150955,0.02196615978468941,0.026915424998840365
154,21.387229919433594,21.362619973974873,-0.024609945458720972,22.31208038330078,22.31191628053218,-0.00016410276860057138,21.419565200805664,22.330062866210938,12.0,13.099998474121094,24.0,24.0,0.0,1.9800000190734863,50.0,50.0,-43.335025044911134,1800.0,0.024609945458720972,0.00016410276860057138,0.024774048227321543
155,21.394859313964844,21.35711900822128,-0.03774030574356502,22.3852481842041,22.24884040506121,-0.1364077791428926,21.387229919433594,22.31208038330078,13.099998474121094,14.099998474121094,24.0,24.0,1.9800000190734863,63.894325256347656,50.0,50.0,-50.80747835097921,1800.0,0.03774030574356502,0.1364077791428926,0.1741480848864576
156,21.394994735717773,21.43019492819568,0.03520019247790529,22.145627975463867,21.725262277166696,-0.4203656982971715,21.394859313964844,22.3852481842041,14.099998474121094,15.200000762939451,24.0,24.0,63.894325256347656,26.07000160217285,50.0,50.0,-139.33656475168,1800.0,0.03520019247790529,0.4203656982971715,0.4555658907750768
157,21.43006134033203,21.395356322027933,-0.034705018304098445,22.24865341186523,21.956014178617327,-0.292639233247904,21.394994735717773,22.145627975463867,15.200000762939451,16.300003051757812,24.0,24.0,26.07000160217285,111.44281768798828,50.0,50.0,-146.3016218340582,1800.0,0.034705018304098445,0.292639233247904,0.3273442515520024
