lb,ub,Qsg,Tout,Tair_true,sat_true,zat_true,raw_action_sat,raw_action_zat
22.0,24.0,25.245,20.400002,22.764782,10.00004768371582,22.493457794189453,10.000048,22.493458
22.0,24.0,11.88,19.2,22.77305,10.000043869018555,22.6043701171875,10.000044,22.60437
22.0,24.0,15.524798,18.099998,22.759365,10.000044822692871,22.680755615234375,10.000045,22.680756
15.0,28.0,0.0,17.600002,22.73048,10.000041007995605,22.786243438720703,10.000041,22.786243
15.0,28.0,0.0,17.099998,22.705626,10.000041007995605,22.83932876586914,10.000041,22.839329
15.0,28.0,0.0,16.7,22.630589,10.000039100646973,22.92384910583496,10.000039,22.92385
15.0,28.0,0.0,16.300003,22.563255,10.000040054321289,22.96303939819336,10.00004,22.96304
15.0,28.0,0.0,15.900002,22.492521,10.000038146972656,23.037395477294922,10.000038,23.037395
15.0,28.0,0.0,15.5,22.431473,10.000039100646973,23.056678771972656,10.000039,23.056679
15.0,28.0,0.0,15.100002,22.364517,10.000038146972656,23.123046875,10.000038,23.123047
15.0,28.0,0.0,14.699997,22.308407,10.000059127807617,23.22089958190918,10.000059,23.2209
15.0,28.0,0.0,14.400002,22.262138,10.0000581741333,23.290618896484375,10.000058,23.290619
15.0,28.0,0.0,14.099998,22.215172,10.000049591064453,23.297588348388672,10.00005,23.297588
15.0,28.0,0.0,13.899998,22.160707,10.000048637390137,23.36224365234375,10.000049,23.362244
15.0,28.0,0.0,13.699997,22.119366,10.000042915344238,23.3715763092041,10.000043,23.371576
15.0,28.0,0.0,13.5,22.072111,10.000041961669922,23.42807388305664,10.000042,23.428074
15.0,28.0,0.0,13.299999,22.035595,10.00003719329834,23.442968368530273,10.000037,23.442968
15.0,28.0,0.0,13.0,21.994228,10.000036239624023,23.494823455810547,10.000036,23.494823
15.0,28.0,0.0,12.700001,21.960533,10.000032424926758,23.519550323486328,10.000032,23.51955
15.0,28.0,0.0,12.399998,21.923847,10.000032424926758,23.566944122314453,10.000032,23.566944
15.0,28.0,0.0,12.0,21.891537,10.000028610229492,23.60245132446289,10.000029,23.602451
15.0,28.0,1.98,13.099998,21.868393,10.000028610229492,23.614147186279297,10.000029,23.614147
15.0,28.0,63.894325,14.099998,21.874634,10.000031471252441,23.577190399169922,10.000031,23.57719
22.0,24.0,26.07,15.200001,21.864899,10.000027656555176,23.576337814331055,10.000028,23.576338
22.0,24.0,111.44282,16.300003,21.903135,10.00003433227539,23.498130798339844,10.000034,23.49813
22.0,24.0,57.915,17.200005,21.909496,10.000028610229492,23.486263275146484,10.000029,23.486263
22.0,24.0,169.08887,18.099998,22.20968,15.499933242797852,23.457069396972656,15.499933,23.45707
22.0,24.0,119.57057,18.800003,22.545555,15.499923706054688,23.29097557067871,15.499924,23.290976
22.0,24.0,330.33704,19.400002,22.682764,15.499961853027344,22.9493408203125,15.499962,22.94934
