row_index,time_hour_start,time_hour_end,dt_seconds,T_env_start,T_zone_start,T_cor_state_start,T_out_state_start,Qsg_state_start,Qint_state_start,hour_sin_start,hour_cos_start,SAT_sp_requested,ZAT_sp_requested,SAT_sp,ZAT_sp,integral_error_start,prev_zat_sp_start,damper_signal_prev_start,m_fan_start,T_cor_used,T_out_used,Qsg_used,Qint_used,Hour_used,T_env_end,T_zone_end,integral_error_end,prev_zat_sp_end,damper_signal_end,m_fan_end,Mode,ReheatSignal_end,Q_reheat_end_W,reward,done,TotalEnergy_kWh,CoolingEnergy_kWh,HeatingEnergy_kWh,ReheatEnergy_kWh,FanEnergy_kWh,ComfortPeriod,ComfortLB,ComfortUB,TempExceed_degC,T_env_end_normalized,T_zone_end_normalized
32,17680,17680.5,1800,24.5524139404,23.5330238342,24,28.3000030518,269.354064941,180,-0.866025388241,-0.5,16.6140785217,19.5571098328,16.6140785217,19.5571098328,2607.60750371,19.5571098328,100,0.317974642857,24,27.7,221.8666509,180,16,24.4923350758,23.4064329715,2607.60750371,19.5571098328,100,0.317974642857,cooling,0,0,-0.00178748961927,False,0.107249377156,0.0248203207922,0,0,0.0824290563639,day,22,24,0,0.414066702127,0.646648705006
33,17680.5,17681,1800,24.4923343658,23.4064331055,24,27.6999969482,221.866653442,180,-0.866025388241,-0.5,16.6140785217,19.5571098328,16.6140785217,19.5571098328,2607.60750371,19.5571098328,100,0.317974642857,24,27.1,126.7057476,180,17,24.3940083119,23.2354748796,2607.60750371,19.5571098328,100,0.317974642857,cooling,0,0,-0.0018118389686,False,0.108710338116,0.0262812817518,0,0,0.0824290563639,day,22,24,0,0.411257386208,0.633498072624
34,17681,17681.5,1800,24.3940086365,23.2354736328,24,27.0999984741,126.705741882,180,-0.965925812721,-0.258819043636,16.6140785217,19.5571098328,16.6140785217,19.5571098328,2607.60750371,19.5571098328,100,0.317974642857,24,26.2,96.50280202,180,17,24.2724778856,23.1301664643,2607.60750371,19.5571098328,100,0.317974642857,cooling,0,0,-0.00185200574705,False,0.111120344823,0.0286912884592,0,0,0.0824290563639,day,22,24,0,0.407785087824,0.625397443771
35,17681.5,17682,1800,24.2724781036,23.1301670074,24,26.1999969482,96.5027999878,180,-0.965925812721,-0.258819043636,16.6140785217,19.5571098328,16.6140785217,19.5571098328,2607.60750371,19.5571098328,100,0.317974642857,24,25.4,53.955,50,18,24.1078139234,22.7609968965,2607.60750371,19.5571098328,100,0.317974642857,cooling,0,0,-0.00187336382379,False,0.112401829427,0.0299727730634,0,0,0.0824290563639,day,22,24,0,0.403080403805,0.596999764442
36,17682,17682.5,1800,24.1078147888,22.7609977722,24,25.4000015259,53.9549980164,50,-1,0,16.6140785217,19.5571098328,16.6140785217,19.5571098328,2607.60750371,19.5571098328,100,0.317974642857,24,25.4,38.445,50,18,23.9398804683,22.6361000273,3559.96824072,19.5571098328,100,0.317974642857,cooling,0,0,-0.00185491866532,False,0.111295119919,0.028928717485,0,0,0.0823664024341,day,22,24,0,0.398282289505,0.58739233017
37,17682.5,17683,1800,23.9398803711,22.636100769,24,25.4000015259,38.4449996948,50,-1,0,14.5,26,14.5,26,3559.96824072,19.5571098328,100,0.317974642857,24,23,24.09,50,19,23.8698143933,23.8847939532,0,26,0,0.080939,heating,0.719443773407,215.833132022,-0.00262678273865,False,0.157606964319,0.00903353070614,0,0.140273498555,0.00829993505753,day,22,24,0,0.396280407906,0.683445692062
38,17683,17683.5,1800,23.8698139191,23.8847942352,24,23,24.0900001526,50,-0.965925812721,0.258819103241,14.5,26,14.5,26,0,26,0,0.080939,24,21.7,11.385,50,19,23.8364927688,23.9214829716,0,26,0,0.080939,heating,0.692579619248,207.773885774,-0.00224501866175,False,0.134701119705,0.0103551895036,0,0.116045995144,0.00829993505753,day,22,24,0,0.395328372717,0.686267912388
39,17683.5,17684,1800,23.8364944458,23.9214820862,24,21.7000007629,11.3850002289,50,-0.965925812721,0.258819103241,16,26,16,26,0,26,0,0.080939,24,20.4,14.70273145,50,20,23.7915921535,23.9788797209,0,26,0,0.080939,heating,0.673455059667,202.0365179,-0.0021837152334,False,0.131022914004,0.00950064144778,0,0.113222337498,0.00829993505753,day,22,24,0,0.394045501947,0.690683066845
40,17684,17684.5,1800,23.7915916443,23.9788799286,24,20.4000015259,14.7027320862,50,-0.866025388241,0.5,16,26,16,26,0,26,0,0.080939,24,19.3,0,50,20,23.7287518164,23.9366870062,0,26,0,0.080939,heating,0.685912230087,205.773669026,-0.00219342518021,False,0.131605510812,0.00991981428194,0,0.113385761473,0.00829993505753,day,22,24,0,0.392250061035,0.687437474728
41,17684.5,17685,1800,23.7287521362,23.9366874695,24,19.2999992371,0,50,-0.866025388241,0.5,16,26,16,26,0,26,0,0.080939,24,18.2,0,50,21,23.6497067788,23.8989648831,0,26,0,0.080939,heating,0.698195682164,209.458704649,-0.00223288431914,False,0.133973059149,0.0101920064002,0,0.115481117691,0.00829993505753,night,15,28,0,0.389991611242,0.684535741806
42,17685,17685.5,1800,23.6497077942,23.8989639282,24,18.2000007629,0,50,-0.707106769085,0.70710682869,16,26,16,26,0,26,0,0.080939,24,17.3,0,50,21,23.5603873881,23.8558557535,0,26,0,0.080939,heating,0.712280071279,213.684021384,-0.00227201573187,False,0.136320943912,0.0103165771989,0,0.117704431656,0.00829993505753,night,15,28,0,0.387439638376,0.681219696999
43,17685.5,17686,1800,23.5603866577,23.8558559418,24,17.2999992371,0,50,-0.707106769085,0.70710682869,16,26,16,26,0,26,0,0.080939,24,16.4,0,50,22,23.4617121008,23.8078904393,0,26,0,0.080939,heating,0.728009320802,218.402796241,-0.00231441569236,False,0.138864941542,0.0103511392633,0,0.120213867221,0.00829993505753,night,15,28,0,0.384620338678,0.677530050278
44,17686,17686.5,1800,23.4617118835,23.8078918457,24,16.3999977112,0,50,-0.5,0.866025447845,14.5,22,14.5,22,0,26,0,0.080939,24,15.8,0,50,22,23.2579177635,22.5997581506,2111.05091189,22,48.6007568217,0.196140116366,cooling,0,0,-0.000851329639143,False,0.0510797783486,0.0304011663523,0,0,0.0206786119963,night,15,28,0,0.378797650337,0.58459675312
45,17686.5,17687,1800,23.2579174042,22.5997581482,24,15.7999992371,0,50,-0.5,0.866025447845,14.5,22,14.5,22,2111.05091189,22,48.6007568217,0.196140116366,24,15.2,0,50,23,22.9792099741,22.1943549856,2841.6894446,22,59.0230875722,0.220844755061,cooling,0,0,-0.00111812409559,False,0.0670874457356,0.0362484680529,0,0,0.0308389776827,night,15,28,0,0.370834559202,0.553411900997
46,17687,17687.5,1800,22.9792098999,22.194355011,24,15.2000007629,0,50,-0.258819043636,0.965925812721,14.5,22,14.5,22,2841.6894446,22,59.0230875722,0.220844755061,24,14.8,0,50,23,22.6965655457,21.9810671561,3014.43380656,22,60.369325893,0.224035819719,cooling,0,0,-0.00119229145039,False,0.0715374870235,0.0370295319184,0,0,0.0345079551051,night,15,28,0,0.362759023905,0.537005186081
47,17687.5,17688,1800,22.6965656281,21.9810676575,24,14.7999992371,0,50,-0.258819043636,0.965925812721,14.5,22,14.5,22,3014.43380656,22,60.369325893,0.224035819719,24,14.4,0,50,0,22.4284252145,21.8569620137,2877.35118249,22,56.4047888674,0.214638453894,heating,0,0,-0.00113231428277,False,0.0679388569663,0.0350248476701,0,0,0.0329140092962,night,15,28,0,0.355097860098,0.52745860815
48,17688,17688.5,1800,22.4284248352,21.856962204,24,14.4000015259,0,50,0,1,14.5,22,14.5,22,2877.35118249,22,56.4047888674,0.214638453894,24,14.2,0,50,0,22.1860663201,21.7889536328,2562.21041545,22,49.4191846247,0.19808008197,heating,0,0,-0.00100321950285,False,0.0601931701713,0.0316558527559,0,0,0.0285373174154,night,15,28,0,0.348173320293,0.522227227688
49,17688.5,17689,1800,22.1860656738,21.7889537811,24,14.2000007629,0,50,0,1,14.5,22,14.5,22,2562.21041545,22,49.4191846247,0.19808008197,24,13.9,0,50,1,21.9698557989,21.7577282898,2154.56573133,22,40.9394810119,0.177980161999,heating,0,0,-0.000849660629977,False,0.0509796377986,0.0275471046729,0,0,0.0234325331257,night,15,28,0,0.341995865107,0.519825279713
50,17689,17689.5,1800,21.9698562622,21.7577285767,24,13.8999977112,0,50,0.258819103241,0.965925812721,17.7000007629,24,17.7000007629,24,2154.56573133,22,40.9394810119,0.177980161999,24,13.8,0,50,1,21.8781921156,22.6692213525,0,24,0,0.080939,heating,0.452846129153,135.853838746,-0.0017818141638,False,0.106908849828,0.00619577846663,0,0.0924131363041,0.00829993505753,night,15,28,0,0.339376926422,0.589940130711
51,17689.5,17690,1800,21.8781929016,22.6692218781,24,13.8000030518,0,50,0.258819103241,0.965925812721,17.7000007629,24,17.7000007629,24,0,24,0,0.080939,24,13.7,0,50,2,21.8360382117,22.6942401876,0,24,0,0.080939,heating,0.43466201845,130.398605535,-0.00146288511326,False,0.0877731067956,0.00665252616619,0,0.0728206455719,0.00829993505753,night,15,28,0,0.338172525167,0.591864645481
52,17690,17690.5,1800,21.8360385895,22.6942405701,24,13.6999969482,0,50,0.5,0.866025447845,17.7000007629,24,17.7000007629,24,0,24,0,0.080939,24,13.6,0,50,2,21.7978370441,22.6770389107,0,24,0,0.080939,heating,0.439960929486,131.988278846,-0.00146422358456,False,0.0878534150739,0.00663492943334,0,0.072918550583,0.00829993505753,night,15,28,0,0.337081044912,0.590541481972
53,17690.5,17691,1800,21.7978363037,22.6770401001,24,13.6000022888,0,50,0.5,0.866025447845,17.7000007629,18,17.7000007629,18,0,24,0,0.080939,24,13.5,0,50,3,21.6696651128,21.6873974557,2716.95667653,18,100,0.317974642857,cooling,0,0,-0.00175958259404,False,0.105574955642,0.0312708035027,0,0,0.0743041521397,night,15,28,0,0.333418995142,0.514415204525
54,17691,17691.5,1800,21.6696643829,21.6873970032,24,13.5,0,50,0.70710682869,0.70710682869,17.7000007629,18,17.7000007629,18,2716.95667653,18,100,0.317974642857,24,13.4,0,50,3,21.5016002141,21.535602664,2716.95667653,18,100,0.317974642857,cooling,0,0,-0.00186049995549,False,0.111629997329,0.0292009409653,0,0,0.0824290563639,night,15,28,0,0.328617155552,0.502738654613
55,17691.5,17692,1800,21.5016002655,21.5356025696,24,13.4000015259,0,50,0.70710682869,0.70710682869,16,24,16,24,2716.95667653,18,100,0.317974642857,24,13.3,0,50,4,21.434864358,22.3629043551,0,24,0,0.080939,heating,0.554448125813,166.334437744,-0.00206411139161,False,0.123846683497,0.00772798819011,0,0.107818760249,0.00829993505753,night,15,28,0,0.326710402966,0.566377282143
56,17692,17692.5,1800,21.4348640442,22.362903595,24,13.2999992371,0,50,0.866025447845,0.5,16,24,16,24,0,24,0,0.080939,24,13.3,0,50,4,21.4129681641,22.3933776657,0,24,0,0.080939,heating,0.535448596984,160.634579095,-0.00177013884128,False,0.106208330477,0.0081424300834,0,0.0897659653359,0.00829993505753,night,15,28,0,0.326084792614,0.568721354008
57,17692.5,17693,1800,21.4129676819,22.3933773041,24,13.2999992371,0,50,0.866025447845,0.5,16,24,16,24,0,24,0,0.080939,24,13.3,0,50,5,21.3949243114,22.3860472839,0,24,0,0.080939,heating,0.537509362001,161.2528086,-0.00176429350064,False,0.105857610038,0.00815067083254,0,0.0894070041484,0.00829993505753,night,15,28,0,0.325569272041,0.568157494068
58,17693,17693.5,1800,21.3949241638,22.3860473633,24,13.2999992371,0,50,0.965925812721,0.258819103241,16,24,16,24,0,24,0,0.080939,24,13.9,1.485,50,5,21.3906995256,22.3836518283,0,24,0,0.080939,heating,0.538663184468,161.59895534,-0.00177152884402,False,0.106291730641,0.00826902423513,0,0.0897227713487,0.00829993505753,night,15,28,0,0.325448572636,0.567973196507
